ResponseID,MaxBiggestBarrier,Biggest_Barriers,MaxSmallestBarrier,Smallest_Barriers
902,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
903,3,Cyber security,4,"My living situation (e.g. location, home size, who I live with)"
904,2,Difficulty collaborating remotely,3,"IT equipment (computer, printer, etc.)"
905,4,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
906,3,"IT equipment (computer, printer, etc.)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
907,4,Lack of motivation,4,Poor management
908,4,Connectivity (internet connection),4,Cyber security
909,3,"My living situation (e.g. location, home size, who I live with)",3,Poor management
910,3,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
911,3,Management discourages remote working,3,Feeling left out and/or isolated
912,4,Poor management,2,I have tasks that can't be done remotely
913,4,Connectivity (internet connection),4,Caring responsibilities
914,3,Lack of motivation,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
915,3,"My living situation (e.g. location, home size, who I live with)",4,Management discourages remote working
916,3,Difficulty collaborating remotely,3,"IT equipment (computer, printer, etc.)"
917,4,Difficulty collaborating remotely,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
918,3,Connectivity (internet connection),3,Lack of motivation
919,4,Management discourages remote working,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
920,4,Management discourages remote working,4,Lack of motivation
921,4,"IT equipment (computer, printer, etc.)",4,Poor management
922,4,Caring responsibilities,4,Lack of motivation
923,3,Management discourages remote working,4,Cyber security
924,3,"My living situation (e.g. location, home size, who I live with)",3,Feeling left out and/or isolated
925,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Difficulty collaborating remotely
926,4,Feeling left out and/or isolated,3,"IT equipment (computer, printer, etc.)"
927,2,"My living situation (e.g. location, home size, who I live with)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
928,2,Lack of motivation,4,Poor management
929,3,Cyber security,3,Management discourages remote working
930,3,Lack of motivation,3,Caring responsibilities
931,4,Connectivity (internet connection),3,Lack of remote working skills
932,3,Lack of motivation,4,"My living situation (e.g. location, home size, who I live with)"
933,4,Connectivity (internet connection),4,Caring responsibilities
934,3,Lack of remote working skills,3,Connectivity (internet connection)
935,3,Connectivity (internet connection),4,Management discourages remote working
936,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Management discourages remote working
937,3,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
938,3,"IT equipment (computer, printer, etc.)",3,Lack of motivation
939,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Management discourages remote working
940,3,Cyber security,3,Management discourages remote working
941,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
942,3,Feeling left out and/or isolated,2,Lack of remote working skills
943,3,Poor management,3,Lack of motivation
944,2,"IT equipment (computer, printer, etc.)",4,Poor management
945,2,"IT equipment (computer, printer, etc.)",2,Lack of remote working skills
946,3,Poor management,3,Lack of motivation
947,3,I have tasks that can't be done remotely,4,Caring responsibilities
948,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of motivation
949,4,Connectivity (internet connection),3,"My living situation (e.g. location, home size, who I live with)"
950,4,Management discourages remote working,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
951,3,"My living situation (e.g. location, home size, who I live with)",3,Feeling left out and/or isolated
952,4,Difficulty collaborating remotely,4,Caring responsibilities
953,3,Poor management,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
954,2,My organisation's software and systems,3,Caring responsibilities
955,4,Difficulty collaborating remotely,4,Lack of motivation
956,3,"My living situation (e.g. location, home size, who I live with)",3,Cyber security
957,3,Connectivity (internet connection),3,Poor management
958,3,Connectivity (internet connection),3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
959,3,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
960,4,Poor management,4,Lack of motivation
961,4,Connectivity (internet connection),4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
962,4,Difficulty collaborating remotely,4,Lack of motivation
963,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
964,2,Management discourages remote working,4,Feeling left out and/or isolated
965,4,Connectivity (internet connection),4,"IT equipment (computer, printer, etc.)"
966,3,Poor management,4,"IT equipment (computer, printer, etc.)"
967,3,Lack of motivation,2,Poor management
968,4,Difficulty collaborating remotely,2,Poor management
969,4,Lack of motivation,4,Management discourages remote working
970,3,Feeling left out and/or isolated,3,Management discourages remote working
971,4,Caring responsibilities,4,Connectivity (internet connection)
972,3,Management discourages remote working,4,Lack of motivation
973,4,Feeling left out and/or isolated,3,Connectivity (internet connection)
974,2,Lack of motivation,4,"My living situation (e.g. location, home size, who I live with)"
975,2,"My living situation (e.g. location, home size, who I live with)",4,Connectivity (internet connection)
976,3,Management discourages remote working,3,Difficulty collaborating remotely
977,4,"My living situation (e.g. location, home size, who I live with)",2,"IT equipment (computer, printer, etc.)"
978,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Connectivity (internet connection)
979,4,Feeling left out and/or isolated,4,Lack of motivation
980,3,Poor management,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
981,3,"IT equipment (computer, printer, etc.)",3,Poor management
982,3,Cyber security,3,Management discourages remote working
983,4,Feeling left out and/or isolated,4,Lack of motivation
984,3,Lack of motivation,4,Feeling left out and/or isolated
985,3,Lack of motivation,4,Connectivity (internet connection)
986,4,Difficulty collaborating remotely,3,Management discourages remote working
987,3,Lack of motivation,4,Poor management
988,3,Difficulty collaborating remotely,3,Caring responsibilities
989,3,Caring responsibilities,4,"My living situation (e.g. location, home size, who I live with)"
990,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
991,3,Management discourages remote working,2,Lack of remote working skills
992,4,Connectivity (internet connection),4,Poor management
993,4,Lack of motivation,2,Management discourages remote working
994,3,"My living situation (e.g. location, home size, who I live with)",3,Management discourages remote working
995,3,I have tasks that can't be done remotely,3,Poor management
996,3,"IT equipment (computer, printer, etc.)",3,Poor management
997,4,Management discourages remote working,4,Lack of motivation
998,4,Connectivity (internet connection),3,"My living situation (e.g. location, home size, who I live with)"
999,4,Feeling left out and/or isolated,2,Management discourages remote working
1000,3,Connectivity (internet connection),3,Management discourages remote working
1001,3,Caring responsibilities,3,I have tasks that can't be done remotely
1002,3,I have tasks that can't be done remotely,4,"My living situation (e.g. location, home size, who I live with)"
1003,4,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
1004,4,Connectivity (internet connection),4,Lack of motivation
1005,3,Lack of motivation,4,"IT equipment (computer, printer, etc.)"
1006,4,Lack of motivation,4,Caring responsibilities
1007,2,Lack of motivation,2,My organisation's software and systems
1008,3,My organisation's software and systems,4,Caring responsibilities
1009,4,Connectivity (internet connection),3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1010,4,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
1011,3,Management discourages remote working,3,Lack of remote working skills
1012,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Connectivity (internet connection)
1013,3,Caring responsibilities,2,"My living situation (e.g. location, home size, who I live with)"
1014,3,Feeling left out and/or isolated,3,Management discourages remote working
1015,4,Management discourages remote working,4,Feeling left out and/or isolated
1016,2,"My living situation (e.g. location, home size, who I live with)",2,Poor management
1017,4,Caring responsibilities,4,"My living situation (e.g. location, home size, who I live with)"
1018,3,I have tasks that can't be done remotely,4,Feeling left out and/or isolated
1019,3,"IT equipment (computer, printer, etc.)",3,Feeling left out and/or isolated
1020,4,Feeling left out and/or isolated,3,"IT equipment (computer, printer, etc.)"
1021,4,Feeling left out and/or isolated,4,Lack of motivation
1022,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Lack of remote working skills
1023,3,Management discourages remote working,4,Feeling left out and/or isolated
1024,4,Connectivity (internet connection),2,"My living situation (e.g. location, home size, who I live with)"
1025,3,Caring responsibilities,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1026,4,Caring responsibilities,4,Lack of motivation
1027,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Cyber security
1028,4,Feeling left out and/or isolated,3,Lack of motivation
1029,4,Poor management,3,Caring responsibilities
1030,3,Management discourages remote working,3,"My living situation (e.g. location, home size, who I live with)"
1031,3,Difficulty collaborating remotely,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1032,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,My organisation's software and systems
1033,3,Management discourages remote working,3,Lack of motivation
1034,3,Lack of motivation,3,Difficulty collaborating remotely
1035,4,Feeling left out and/or isolated,4,Lack of motivation
1036,4,Lack of motivation,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1037,4,Difficulty collaborating remotely,4,Caring responsibilities
1038,3,Connectivity (internet connection),2,Management discourages remote working
1039,3,Difficulty collaborating remotely,3,Caring responsibilities
1040,2,"My living situation (e.g. location, home size, who I live with)",2,My organisation's software and systems
1041,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Management discourages remote working
1042,4,Connectivity (internet connection),4,Lack of motivation
1043,4,Feeling left out and/or isolated,3,Caring responsibilities
1044,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
1045,3,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
1046,3,Lack of remote working skills,3,"My living situation (e.g. location, home size, who I live with)"
1047,4,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
1048,3,Management discourages remote working,4,"My living situation (e.g. location, home size, who I live with)"
1049,3,"My living situation (e.g. location, home size, who I live with)",4,Connectivity (internet connection)
1050,4,Management discourages remote working,4,Lack of motivation
1051,2,Lack of motivation,3,Lack of motivation
1052,4,Feeling left out and/or isolated,4,Lack of motivation
1053,3,"IT equipment (computer, printer, etc.)",4,Management discourages remote working
1054,4,Poor management,3,"IT equipment (computer, printer, etc.)"
1055,4,Lack of motivation,3,Feeling left out and/or isolated
1056,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,My organisation's software and systems
1057,3,"IT equipment (computer, printer, etc.)",2,My organisation's software and systems
1058,3,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1059,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Poor management
1060,3,Management discourages remote working,4,Poor management
1061,2,Lack of motivation,4,Feeling left out and/or isolated
1062,4,"IT equipment (computer, printer, etc.)",4,"My living situation (e.g. location, home size, who I live with)"
1063,4,Feeling left out and/or isolated,4,My organisation's software and systems
1064,3,Connectivity (internet connection),3,Feeling left out and/or isolated
1065,3,"My living situation (e.g. location, home size, who I live with)",2,Lack of remote working skills
1066,3,Connectivity (internet connection),3,Management discourages remote working
1067,4,Feeling left out and/or isolated,4,Lack of motivation
1068,3,Difficulty collaborating remotely,4,My organisation's software and systems
1069,4,Cyber security,4,Connectivity (internet connection)
1070,2,"My living situation (e.g. location, home size, who I live with)",2,Lack of remote working skills
1071,3,Caring responsibilities,3,Lack of motivation
1072,3,I have tasks that can't be done remotely,4,Feeling left out and/or isolated
1073,4,Connectivity (internet connection),3,Feeling left out and/or isolated
1074,4,Difficulty collaborating remotely,4,Lack of motivation
1075,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
1076,4,Poor management,4,Caring responsibilities
1077,3,"IT equipment (computer, printer, etc.)",4,Lack of motivation
1078,4,Feeling left out and/or isolated,3,My organisation's software and systems
1079,4,Difficulty collaborating remotely,3,Lack of motivation
1080,4,Cyber security,3,Lack of motivation
1081,3,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
1082,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Management discourages remote working
1083,3,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
1084,4,Feeling left out and/or isolated,3,Lack of motivation
1085,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Management discourages remote working
1086,4,Poor management,3,Management discourages remote working
1087,3,Difficulty collaborating remotely,2,My organisation's software and systems
1088,4,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
1089,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Connectivity (internet connection)
1090,4,Caring responsibilities,4,Poor management
1091,4,Connectivity (internet connection),3,Cyber security
1092,2,Management discourages remote working,2,Connectivity (internet connection)
1093,2,I have tasks that can't be done remotely,4,Feeling left out and/or isolated
1094,5,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
1095,4,Lack of motivation,3,Management discourages remote working
1096,3,Lack of remote working skills,3,"My living situation (e.g. location, home size, who I live with)"
1097,2,My organisation's software and systems,2,Cyber security
1098,4,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
1099,4,Feeling left out and/or isolated,3,Poor management
1100,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Poor management
1101,2,Lack of remote working skills,4,Caring responsibilities
1102,2,Management discourages remote working,3,Feeling left out and/or isolated
1103,4,Lack of motivation,2,My organisation's software and systems
1104,4,Connectivity (internet connection),4,Feeling left out and/or isolated
1105,5,Caring responsibilities,3,"My living situation (e.g. location, home size, who I live with)"
1106,2,Lack of motivation,3,Feeling left out and/or isolated
1107,4,"IT equipment (computer, printer, etc.)",4,"My living situation (e.g. location, home size, who I live with)"
1108,3,"My living situation (e.g. location, home size, who I live with)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1109,3,Lack of motivation,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1110,3,Difficulty collaborating remotely,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1111,2,Lack of motivation,2,Connectivity (internet connection)
1112,3,Lack of motivation,4,Caring responsibilities
1113,4,"IT equipment (computer, printer, etc.)",2,Poor management
1114,3,Management discourages remote working,4,Connectivity (internet connection)
1115,4,Feeling left out and/or isolated,4,Poor management
1116,3,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
1117,4,Lack of motivation,3,Caring responsibilities
1118,4,Connectivity (internet connection),4,Lack of motivation
1119,3,Feeling left out and/or isolated,3,Connectivity (internet connection)
1120,4,Connectivity (internet connection),4,Management discourages remote working
1121,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Lack of remote working skills
1122,3,Lack of motivation,4,Lack of motivation
1123,2,"IT equipment (computer, printer, etc.)",4,Lack of motivation
1124,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of motivation
1125,3,I have tasks that can't be done remotely,2,I have tasks that can't be done remotely
1126,4,Poor management,4,Connectivity (internet connection)
1127,2,Lack of remote working skills,3,Management discourages remote working
1128,2,Poor management,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1129,2,"My living situation (e.g. location, home size, who I live with)",2,Lack of motivation
1130,2,"My living situation (e.g. location, home size, who I live with)",2,Feeling left out and/or isolated
1131,2,"IT equipment (computer, printer, etc.)",2,Caring responsibilities
1132,3,Cyber security,3,Feeling left out and/or isolated
1133,3,Caring responsibilities,4,Poor management
1134,4,Connectivity (internet connection),3,My organisation's software and systems
1135,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Difficulty collaborating remotely
1136,3,Management discourages remote working,3,Lack of motivation
1137,2,"My living situation (e.g. location, home size, who I live with)",4,Management discourages remote working
1138,3,"My living situation (e.g. location, home size, who I live with)",2,Lack of motivation
1139,3,"IT equipment (computer, printer, etc.)",3,Caring responsibilities
1140,3,Cyber security,3,Lack of motivation
1141,4,Difficulty collaborating remotely,2,Poor management
1142,2,My organisation's software and systems,3,Feeling left out and/or isolated
1143,4,Feeling left out and/or isolated,3,Caring responsibilities
1144,2,Lack of remote working skills,2,Cyber security
1145,3,Poor management,4,Connectivity (internet connection)
1146,3,Lack of motivation,3,Lack of remote working skills
1147,4,"My living situation (e.g. location, home size, who I live with)",4,Feeling left out and/or isolated
1148,3,Difficulty collaborating remotely,3,Management discourages remote working
1149,4,"IT equipment (computer, printer, etc.)",4,I have tasks that can't be done remotely
1150,3,Difficulty collaborating remotely,3,Feeling left out and/or isolated
1151,2,"My living situation (e.g. location, home size, who I live with)",3,Difficulty collaborating remotely
1152,2,My organisation's software and systems,2,"My living situation (e.g. location, home size, who I live with)"
1153,2,Poor management,2,My organisation's software and systems
1154,3,Management discourages remote working,3,My organisation's software and systems
1155,3,Management discourages remote working,4,Connectivity (internet connection)
1156,2,Lack of remote working skills,2,Lack of motivation
1157,3,Lack of motivation,3,Poor management
1158,1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Connectivity (internet connection)
1159,3,Lack of motivation,3,Lack of remote working skills
1160,4,Management discourages remote working,4,Lack of remote working skills
1161,4,Connectivity (internet connection),3,Lack of motivation
1162,3,Lack of motivation,4,Connectivity (internet connection)
1163,3,Lack of motivation,4,My organisation's software and systems
1164,3,My organisation's software and systems,2,"IT equipment (computer, printer, etc.)"
1165,4,Feeling left out and/or isolated,3,Poor management
1166,3,Difficulty collaborating remotely,4,Connectivity (internet connection)
1167,3,Lack of motivation,4,Caring responsibilities
1168,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,"My living situation (e.g. location, home size, who I live with)"
1169,4,Connectivity (internet connection),3,Lack of motivation
1170,3,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1171,4,Feeling left out and/or isolated,4,Cyber security
1172,4,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
1173,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
1174,2,Lack of motivation,2,Lack of motivation
1175,2,Feeling left out and/or isolated,3,Lack of motivation
1176,4,Lack of motivation,2,Lack of remote working skills
1177,4,Lack of motivation,3,Cyber security
1178,3,"My living situation (e.g. location, home size, who I live with)",4,Feeling left out and/or isolated
1179,4,Connectivity (internet connection),4,Difficulty collaborating remotely
1180,4,Lack of remote working skills,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1181,4,Lack of remote working skills,3,Difficulty collaborating remotely
1182,4,Difficulty collaborating remotely,4,Management discourages remote working
1183,4,Connectivity (internet connection),4,Feeling left out and/or isolated
1184,5,Difficulty collaborating remotely,4,I have tasks that can't be done remotely
1185,3,Lack of motivation,4,Connectivity (internet connection)
1186,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Cyber security
1187,4,Difficulty collaborating remotely,3,Poor management
1188,3,Connectivity (internet connection),3,"IT equipment (computer, printer, etc.)"
1189,3,Lack of motivation,4,Lack of motivation
1190,3,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
1191,3,Cyber security,4,Lack of motivation
1192,2,Poor management,4,Lack of motivation
1193,4,Management discourages remote working,4,"My living situation (e.g. location, home size, who I live with)"
1194,4,"IT equipment (computer, printer, etc.)",3,Poor management
1195,3,I have tasks that can't be done remotely,4,Lack of motivation
1196,3,Poor management,4,Lack of motivation
1197,4,Difficulty collaborating remotely,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1198,4,Difficulty collaborating remotely,4,Caring responsibilities
1199,3,Difficulty collaborating remotely,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1200,3,Difficulty collaborating remotely,4,Feeling left out and/or isolated
1201,3,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
1202,5,Difficulty collaborating remotely,4,I have tasks that can't be done remotely
1203,4,Connectivity (internet connection),3,Difficulty collaborating remotely
1204,2,Lack of motivation,2,Caring responsibilities
1205,3,"IT equipment (computer, printer, etc.)",2,Lack of motivation
1206,4,Management discourages remote working,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1207,4,"IT equipment (computer, printer, etc.)",4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1208,4,"My living situation (e.g. location, home size, who I live with)",4,Feeling left out and/or isolated
1209,4,Feeling left out and/or isolated,3,Caring responsibilities
1210,4,Connectivity (internet connection),4,Feeling left out and/or isolated
1211,3,Difficulty collaborating remotely,2,Poor management
1212,2,"IT equipment (computer, printer, etc.)",2,"My living situation (e.g. location, home size, who I live with)"
1213,2,"My living situation (e.g. location, home size, who I live with)",3,Connectivity (internet connection)
1214,3,Connectivity (internet connection),4,Lack of motivation
1215,3,Management discourages remote working,2,"My living situation (e.g. location, home size, who I live with)"
1216,4,Lack of motivation,3,Management discourages remote working
1217,3,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
1218,2,Poor management,3,Lack of motivation
1219,4,Connectivity (internet connection),3,Caring responsibilities
1220,3,Management discourages remote working,3,Lack of motivation
1221,2,"My living situation (e.g. location, home size, who I live with)",2,Management discourages remote working
1222,2,Lack of motivation,3,Poor management
1223,3,Feeling left out and/or isolated,3,Lack of motivation
1224,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Cyber security
1225,3,Feeling left out and/or isolated,2,Connectivity (internet connection)
1226,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Caring responsibilities
1227,4,Caring responsibilities,4,Lack of motivation
1228,4,Lack of motivation,3,Connectivity (internet connection)
1229,4,Lack of motivation,3,Cyber security
1230,2,Management discourages remote working,2,My organisation's software and systems
1231,4,Lack of motivation,3,Management discourages remote working
1232,3,"IT equipment (computer, printer, etc.)",3,Poor management
1233,3,"IT equipment (computer, printer, etc.)",4,Lack of remote working skills
1234,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,"IT equipment (computer, printer, etc.)"
1235,4,Lack of motivation,3,Difficulty collaborating remotely
1236,3,Management discourages remote working,4,Connectivity (internet connection)
1237,4,Feeling left out and/or isolated,4,Lack of motivation
1238,3,Lack of remote working skills,4,Poor management
1239,4,Caring responsibilities,4,Lack of remote working skills
1240,3,Feeling left out and/or isolated,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1241,4,Difficulty collaborating remotely,4,Lack of remote working skills
1242,3,Cyber security,3,Poor management
1243,4,Feeling left out and/or isolated,2,Poor management
1244,3,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
1245,4,Connectivity (internet connection),4,Feeling left out and/or isolated
1246,3,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
1247,4,Connectivity (internet connection),4,Lack of motivation
1248,3,Difficulty collaborating remotely,2,Lack of motivation
1249,4,"IT equipment (computer, printer, etc.)",3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1250,4,Caring responsibilities,4,Connectivity (internet connection)
1251,4,Feeling left out and/or isolated,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1252,2,Lack of motivation,2,Lack of motivation
1253,3,Management discourages remote working,4,Lack of motivation
1254,4,Lack of remote working skills,2,Poor management
1255,3,Difficulty collaborating remotely,3,Poor management
1256,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
1257,3,"IT equipment (computer, printer, etc.)",3,Lack of motivation
1258,4,"IT equipment (computer, printer, etc.)",4,Lack of remote working skills
1259,3,Feeling left out and/or isolated,2,Lack of remote working skills
1260,2,Poor management,3,I have tasks that can't be done remotely
1261,3,Difficulty collaborating remotely,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1262,4,Management discourages remote working,4,Lack of remote working skills
1263,4,Feeling left out and/or isolated,3,Difficulty collaborating remotely
1264,3,Management discourages remote working,4,Lack of motivation
1265,4,Connectivity (internet connection),4,Cyber security
1266,2,My organisation's software and systems,2,Lack of motivation
1267,4,Connectivity (internet connection),3,Lack of motivation
1268,4,"IT equipment (computer, printer, etc.)",2,My organisation's software and systems
1269,4,Lack of motivation,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1270,4,"IT equipment (computer, printer, etc.)",4,Poor management
1271,3,Feeling left out and/or isolated,2,"My living situation (e.g. location, home size, who I live with)"
1272,3,I have tasks that can't be done remotely,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1273,4,"IT equipment (computer, printer, etc.)",4,Lack of remote working skills
1274,4,Connectivity (internet connection),4,"My living situation (e.g. location, home size, who I live with)"
1275,4,Feeling left out and/or isolated,3,Lack of motivation
1276,3,Lack of motivation,4,Feeling left out and/or isolated
1277,3,Cyber security,3,Caring responsibilities
1278,4,"IT equipment (computer, printer, etc.)",4,Management discourages remote working
1279,3,Lack of motivation,3,Lack of motivation
1280,3,Feeling left out and/or isolated,2,Poor management
1281,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Poor management
1282,3,Feeling left out and/or isolated,4,Lack of motivation
1283,4,Feeling left out and/or isolated,2,Poor management
1284,3,Lack of motivation,2,Feeling left out and/or isolated
1285,3,Feeling left out and/or isolated,4,My organisation's software and systems
1286,4,Caring responsibilities,4,Poor management
1287,2,Lack of remote working skills,3,Connectivity (internet connection)
1288,3,Caring responsibilities,4,"IT equipment (computer, printer, etc.)"
1289,3,Lack of remote working skills,2,Management discourages remote working
1290,3,"IT equipment (computer, printer, etc.)",2,Lack of remote working skills
1291,3,Difficulty collaborating remotely,3,"IT equipment (computer, printer, etc.)"
1292,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Caring responsibilities
1293,3,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
1294,2,Poor management,3,Difficulty collaborating remotely
1295,4,Lack of motivation,2,Management discourages remote working
1296,3,"IT equipment (computer, printer, etc.)",3,Connectivity (internet connection)
1297,2,Management discourages remote working,2,Poor management
1298,3,Management discourages remote working,3,Lack of motivation
1299,2,My organisation's software and systems,2,Poor management
1300,2,"My living situation (e.g. location, home size, who I live with)",2,Lack of remote working skills
1301,2,Cyber security,2,Lack of motivation
1302,4,Feeling left out and/or isolated,4,Poor management
1303,4,Poor management,3,Difficulty collaborating remotely
1304,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1305,3,I have tasks that can't be done remotely,4,Connectivity (internet connection)
1306,3,Management discourages remote working,4,Poor management
1307,4,Cyber security,3,Caring responsibilities
1308,2,Management discourages remote working,4,Lack of motivation
1309,2,"My living situation (e.g. location, home size, who I live with)",3,My organisation's software and systems
1310,4,Connectivity (internet connection),4,I have tasks that can't be done remotely
1311,3,Management discourages remote working,2,Management discourages remote working
1312,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of motivation
1313,4,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
1314,4,Connectivity (internet connection),3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1315,3,I have tasks that can't be done remotely,4,Lack of motivation
1316,3,Difficulty collaborating remotely,4,Lack of motivation
1317,3,Lack of motivation,4,Lack of motivation
1318,4,Feeling left out and/or isolated,4,Management discourages remote working
1319,3,"My living situation (e.g. location, home size, who I live with)",4,Feeling left out and/or isolated
1320,3,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1321,4,Caring responsibilities,4,Feeling left out and/or isolated
1322,2,Management discourages remote working,3,"IT equipment (computer, printer, etc.)"
1323,4,"IT equipment (computer, printer, etc.)",3,Management discourages remote working
1324,4,Connectivity (internet connection),4,Feeling left out and/or isolated
1325,3,Cyber security,3,Lack of motivation
1326,3,"IT equipment (computer, printer, etc.)",3,Lack of motivation
1327,2,"My living situation (e.g. location, home size, who I live with)",4,Connectivity (internet connection)
1328,3,Lack of motivation,2,"My living situation (e.g. location, home size, who I live with)"
1329,4,Feeling left out and/or isolated,3,Poor management
1330,3,Lack of remote working skills,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
1331,3,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
1332,2,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
