Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Last_Year_Actual_Work_Time_Remotely,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_Year_Preferred_Work_Time_Remotely,Last_3Months_Actual_Work_Time_Remotely,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_3Months_Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Best_Aspects,Worst_Aspects
935,1991,Female,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,No,Other one family household,5,More than 5 years,3,Metro," 90%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 80%",100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 90%"," 60%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 10 %,2,4,0.5,5,0.25,6,1,1,Connectivity (internet connection),Management discourages remote working,Preparing for work and commuting,My mental wellbeing
936,1982,Female,Public Administration and Safety,Managers - Specialist Managers,More than 200,5,Yes,Other one family household,5,Between 1 and 5 years,2,Metro," 10%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4," 20%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time," 50% - About half of my time",Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,More Productive By 50 %,3,8,2,0,1,9,2,0,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Management discourages remote working,Preparing for work and commuting,The number of hours  I work
937,1981,Female,Health Care and Social Assistance,"Community and personal service  - Health and Welfare Support ",More than 200,5,No,Couple with dependent children,4,Between 6 and 12 months,1,Regional," 80%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5," 90%"," 90%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5," 90%"," 90%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,0.2,7.5,12,4.3,0.1,7.5,12.4,4,Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",My mental wellbeing,My opportunities to socialise
938,1986,Male,Education and Training,Managers - Specialist Managers,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 30%"," 80%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%"," 90%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 20 %,2,8,2,1,0,9,3,1,"IT equipment (computer, printer, etc.)",Lack of motivation,Managing my personal commitments,My work-life balance
939,1983,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Strongly disagree,1,Neither agree nor disagree,3," 0% - I would not have preferred to work remotely",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 30 %,1,9.5,0.5,0,0.5,8,1.5,1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Management discourages remote working,My daily expenses,My mental wellbeing
940,1981,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 10%"," 50% - I spent about half of my time remote working",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 50% - About half of my time"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1,7,3,2,0,7,5,2,Cyber security,Management discourages remote working,My daily expenses,My job satisfaction
941,1978,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 10%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4," 10%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,100% - All of my time," 50% - About half of my time",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 10 %,1,9,3,3,0.5,8,4,3,Feeling left out and/or isolated,Connectivity (internet connection),My work-life balance,My on-the-job learning opportunities
942,1985,Female,Financial and Insurance Services,"Clerical and administrative  - General Clerical ",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Somewhat agree,4,Strongly disagree,1,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 90%"," 90%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 90%"," 90%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1.5,7.5,2,1,0.5,7.5,3,2,Feeling left out and/or isolated,Lack of remote working skills,Preparing for work and commuting,My working relationships
943,1968,Male,"Professional, Scientific and Technical Services","Professionals - Legal, Social and Welfare Professionals",More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 20%",Strongly disagree,1,Neither agree nor disagree,3,Strongly disagree,1,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Neither agree nor disagree,3,Strongly disagree,1,Neither agree nor disagree,3,Somewhat agree,4,Strongly agree,5,100% - All of my time,100% - All of my time,Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Level Of The Productivity Is The Same,2,12,2,0,0.5,12,4,0,Poor management,Lack of motivation,My work-life balance,The number of hours  I work
944,1959,Female,Education and Training,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Regional," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Strongly disagree,1,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3," 1% - 9% - Less than 10% of my time"," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 10%"," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Level Of The Productivity Is The Same,1,7,4,4,1,7,4,4,"IT equipment (computer, printer, etc.)",Poor management,My job satisfaction,My mental wellbeing
945,1988,Female,Retail Trade,"Technicians and trades  - Construction Trades ",Between 5 and 19,3,No,One  parent family with dependent children,3,Between 6 and 12 months,1,Metro," 30%",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3," 20%"," 40%",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly disagree,1," 70%"," 20%",Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1,1,1,1,1,1,1,1,"IT equipment (computer, printer, etc.)",Lack of remote working skills,The number of hours  I work,Managing my family responsibilities
946,1970,Male,Health Care and Social Assistance,Professionals - Health Professionals,Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Regional," 50% - I spent about half of my time remote working",Somewhat disagree,2,Neither agree nor disagree,3,Strongly agree,5,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4," 70%"," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5," 70%"," 50% - About half of my time",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat disagree,2,More Productive By 20 %,3,6,0.5,0,0.5,7,1,1,Poor management,Lack of motivation,Preparing for work and commuting,My on-the-job learning opportunities
947,1969,Female,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 1% - 9% - Less than 10% of my time"," 10%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4,Somewhat disagree,2," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 30 %,0.5,9,2,2,0.25,9,1,2,I have tasks that can't be done remotely,Caring responsibilities,My work-life balance,My working relationships
948,1988,Female,Arts and Recreation Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,No,Group household,7,More than 5 years,3,Regional," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 20%"," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 20%"," 20%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 50 %,0.5,6,1,1,0,7,0.5,0.5,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,The number of hours  I work,My working relationships
949,1972,Male,Manufacturing,"Clerical and administrative  - General Clerical ",Between 5 and 19,3,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 20%"," 20%",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2," 60%"," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,More Productive By 30 %,1,8,1,1,1,5,4,2,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",The number of hours  I work,My working relationships
950,1980,Male,Construction,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2,Strongly agree,5,Neither agree nor disagree,3," 20%"," 90%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4," 90%"," 50% - About half of my time",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat disagree,2,More Productive By 30 %,1,7,5,3,0.1,8,6,6,Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,The number of hours  I work
951,1985,Male,Financial and Insurance Services,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 70%",Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,100% - All of my time," 50% - About half of my time",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Less Productive By 10 %,2.5,7.5,4,2,0,7.5,4.5,4,"My living situation (e.g. location, home size, who I live with)",Feeling left out and/or isolated,My daily expenses,My opportunities to socialise
952,1987,Female,Retail Trade,Managers - Specialist Managers,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 20%",100% - I spent all of my time remote working,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 60%"," 40%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,1.5,10,3,1,0,12,2.5,1.5,Difficulty collaborating remotely,Caring responsibilities,Preparing for work and commuting,The number of hours  I work
953,1956,Male,"Professional, Scientific and Technical Services","Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,3,No,Couple with no dependent children,2,Between 1 and 5 years,2,Regional,100% - I spent all of my time remote working,Neither agree nor disagree,3,Strongly agree,5,Somewhat disagree,2,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,3,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 30 %,1,4,6,4,0,4,6,4,Poor management,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Managing my personal commitments,My work-life balance
954,1965,Male,Public Administration and Safety,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Strongly disagree,1,Somewhat disagree,2,Somewhat disagree,2,Strongly disagree,1,Strongly agree,5," 20%"," 50% - I spent about half of my time remote working",Strongly agree,5,Somewhat disagree,2,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 60%"," 40%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,2.5,7.5,3,2,0,6.5,8,2,My organisation's software and systems,Caring responsibilities,Managing my personal commitments,My working relationships
955,1972,Male,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3," 20%"," 90%",Strongly agree,5,Somewhat disagree,2,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3," 20%"," 30%",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Less Productive By 10 %,1,9,1,1,0,10,2,3,Difficulty collaborating remotely,Lack of motivation,Managing my personal commitments,My opportunities to socialise
956,1991,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,5,No,Group household,7,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 20%"," 10%",Somewhat disagree,2,Somewhat agree,4,Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4,Neither agree nor disagree,3," 20%"," 30%",Strongly disagree,1,Somewhat disagree,2,Somewhat disagree,2,Level Of The Productivity Is The Same,2,8,12,2,0.5,7.5,4,12,"My living situation (e.g. location, home size, who I live with)",Cyber security,My daily expenses,My working relationships
957,1977,Female,Retail Trade,Managers - Specialist Managers,Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Regional," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 30%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,More Productive By 40 %,0.5,8,4,8,0.25,6,8,8,Connectivity (internet connection),Poor management,Preparing for work and commuting,Preparing for work and commuting
958,1991,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 5 and 19,3,No,Other one family household,5,Between 1 and 5 years,2,Regional," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,100% - All of my time,100% - I spent all of my time remote working,Somewhat disagree,2,Somewhat agree,4,Strongly disagree,1,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,100% - All of my time,100% - All of my time,Strongly disagree,1,Somewhat agree,4,Somewhat disagree,2,Level Of The Productivity Is The Same,0.5,8,0,0,0,8,0,0,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Managing my personal commitments,My on-the-job learning opportunities
959,1962,Male,Education and Training,Professionals - Education Professionals,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%",Neither agree nor disagree,3,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5," 40%"," 90%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 60%"," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Level Of The Productivity Is The Same,2.5,10,4,2,0.5,10,4,2,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My daily expenses,My opportunities to socialise
960,1980,Male,"Professional, Scientific and Technical Services","Technicians and trades  - Other Technicians and Trades ",Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat disagree,2," 0% - I would not have preferred to work remotely",100% - I spent all of my time remote working,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly disagree,1," 80%"," 0% - I would prefer not to work remotely",Somewhat disagree,2,Strongly disagree,1,Somewhat disagree,2,Less Productive By 30 %,1.5,7.5,3,2,0.5,9,3,2,Poor management,Lack of motivation,Managing my personal commitments,My mental wellbeing
961,1967,Male,"Transport, Postal and Warehousing",Machinery operators and drivers - Road and Rail Drivers,More than 200,5,No,Single person,1,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1," 0% - I would not have preferred to work remotely"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 50 %,2,12,2,2,0.5,16,1,1,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,My mental wellbeing
962,1971,Female,"Professional, Scientific and Technical Services",Professionals - Health Professionals,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5," 70%"," 70%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 70%"," 70%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,1.5,8.5,4.5,1.5,0.5,8.5,7.5,1.5,Difficulty collaborating remotely,Lack of motivation,My work-life balance,My opportunities to socialise
963,1965,Female,Financial and Insurance Services,Managers - Specialist Managers,Between 20 and 199,4,Yes,One  parent family with dependent children,3,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 80%",Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Level Of The Productivity Is The Same,4,8,2,2,0,9,4,4,Feeling left out and/or isolated,Connectivity (internet connection),My work-life balance,My on-the-job learning opportunities
964,1971,Female,Construction,Managers - Specialist Managers,Between 20 and 199,4,No,One  parent family with dependent children,3,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Neither agree nor disagree,3,Neither agree nor disagree,3,100% - All of my time,100% - I spent all of my time remote working,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Neither agree nor disagree,3,Strongly agree,5,100% - All of my time,100% - All of my time,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 10 %,2,8,0,0,2,10,4,1,Management discourages remote working,Feeling left out and/or isolated,Preparing for work and commuting,My working relationships
965,1989,Male,Financial and Insurance Services,Professionals - ICT Professionals,More than 200,5,No,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 70%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 20%"," 80%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 70%"," 60%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 50 %,2,15,5,2,0,16,4,4,Connectivity (internet connection),"IT equipment (computer, printer, etc.)",Preparing for work and commuting,The number of hours  I work
966,1972,Male,"Professional, Scientific and Technical Services",Sales  - Sales Representatives and Agents,More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Regional,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,4,8,2,2,0,10,4,2,Poor management,"IT equipment (computer, printer, etc.)",My work-life balance,My working relationships
967,1963,Female,Education and Training,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Single person,1,More than 5 years,3,Regional," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time"," 80%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4," 80%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 40 %,1,9,6,2,0,10,6,2,Lack of motivation,Poor management,Preparing for work and commuting,The number of hours  I work
968,1980,Male,Financial and Insurance Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,100% - All of my time," 50% - About half of my time",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 50 %,0.5,9,4,2,0.5,10,4,2,Difficulty collaborating remotely,Poor management,My work-life balance,My opportunities to socialise
969,1981,Male,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 20%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 80%"," 60%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 10 %,2.5,8,8,4,0,8,10,6,Lack of motivation,Management discourages remote working,My daily expenses,My mental wellbeing
970,1971,Male,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,No,Couple with no dependent children,2,Between 1 and 5 years,2,Regional," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Neither agree nor disagree,3,Strongly disagree,1,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 20%",100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 70%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 10 %,1,8,4,1,0,8,4,1,Feeling left out and/or isolated,Management discourages remote working,My work-life balance,My on-the-job learning opportunities
