ID,Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Actual_Work_Time_Remotely,Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Year
1135,1135,1980,Male,Other Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 20%"," 20%",100% - All of my time,Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Level Of The Productivity Is The Same,2,7.5,2,3,0,6,3,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,2020
1136,1136,1982,Female,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 30%"," 80%"," 80%",Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 50 %,2,8,2,3,0.5,8,5,2,Management discourages remote working,Lack of motivation,2020
1137,1137,1963,Female,Administrative and Support Services,Clerical and administrative  - Inquiry Clerks and Receptionists,Between 5 and 19,3,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 70%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,3,8,2,3,0.5,8,3,4,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,2020
1138,1138,1997,Male,"Professional, Scientific and Technical Services",Professionals - Arts and Media Professionals,Between 20 and 199,4,Yes,Other one family household,5,Between 6 and 12 months,1,Metro," 70%"," 70%"," 30%",Somewhat disagree,2,Strongly agree,5,Neither agree nor disagree,3,Level Of The Productivity Is The Same,3,5,8,4,5,5,7,5,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,2020
1139,1139,1975,Female,Education and Training,"Clerical and administrative  - Clerical and Office Support ",More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 50% - About half of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 20 %,4.5,7.5,2,1,2,7.5,2.5,2,"IT equipment (computer, printer, etc.)",Caring responsibilities,2020
1140,1140,1969,Female,"Professional, Scientific and Technical Services","Professionals - Legal, Social and Welfare Professionals",Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 10 %,1,6,10,7,0,8,7,9,Cyber security,Lack of motivation,2020
1141,1141,1998,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 20%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 50 %,0.5,6,3,0,1,7,3,0,Difficulty collaborating remotely,Poor management,2020
1142,1142,1992,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 70%"," 80%"," 70%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 30 %,2,6,12,4,3,7,10,4,My organisation's software and systems,Feeling left out and/or isolated,2020
1143,1143,1990,Female,Manufacturing,"Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,3,No,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 30%"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,More Productive By 20 %,2,8,3,2,1,8,3,2,Feeling left out and/or isolated,Caring responsibilities,2020
1144,1144,1995,Male,"Professional, Scientific and Technical Services",Community and personal service  - Carers and Aides,Between 20 and 199,4,No,Couple with no dependent children,2,Between 6 and 12 months,1,Regional," 30%"," 10%"," 10%",Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3,Less Productive By 10 %,0.3,4,3,2,4,7,7,6,Lack of remote working skills,Cyber security,2020
1145,1145,2000,Female,Other Services,"Technicians and trades  - Engineering, ICT and Science Technicians",Between 20 and 199,4,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,3,5,5,3,0,6,5,4,Poor management,Connectivity (internet connection),2020
1146,1146,1969,Female,Financial and Insurance Services,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Regional," 0% - Rarely or never"," 10%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,3.5,10,3,1,0.5,10,3,2.5,Lack of motivation,Lack of remote working skills,2020
1147,1147,1968,Male,Public Administration and Safety,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%"," 20%"," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Less Productive By 10 %,1.2,8,4,3,0,8.5,4,3,"My living situation (e.g. location, home size, who I live with)",Feeling left out and/or isolated,2020
1148,1148,1963,Male,"Rental, Hiring and Real Estate Services",Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Less Productive By 10 %,0.5,8,3,2,0.5,8,3,2,Difficulty collaborating remotely,Management discourages remote working,2020
1149,1149,1977,Male,Construction,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 80%"," 1% - 9% - Less than 10% of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,0.5,5,1,1,0.5,5,2,1,"IT equipment (computer, printer, etc.)",I have tasks that can't be done remotely,2020
1150,1150,1956,Female,Financial and Insurance Services,"Professionals - Legal, Social and Welfare Professionals",I am the only employee,1,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,100% - All of my time," 0% - I would prefer not to work remotely",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 50 %,0,0,0,0,0,5,5,7,Difficulty collaborating remotely,Feeling left out and/or isolated,2020
1151,1151,1975,Female,Manufacturing,"Community and personal service  - Protective Service ",Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 40%"," 30%"," 60%",Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 10 %,3,2,2,1,4,3,2,1,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,2020
1152,1152,1985,Male,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Single person,1,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 80%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,1,5,2,2,2,2,3,3,My organisation's software and systems,"My living situation (e.g. location, home size, who I live with)",2020
1153,1153,1993,Female,Administrative and Support Services,Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Regional," 70%",100% - All of my time,100% - All of my time,Strongly agree,5,Somewhat agree,4,Strongly agree,5,More Productive By 50 %,2,2,5,5,0,6,5,5,Poor management,My organisation's software and systems,2020
1154,1154,1956,Female,Education and Training,Professionals - Education Professionals,Between 5 and 19,3,Yes,Couple with no dependent children,2,More than 5 years,3,Regional," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Somewhat disagree,2,Strongly disagree,1,Less Productive By 50 %,1,3,6,5,1,3,6,5,Management discourages remote working,My organisation's software and systems,2020
1155,1155,1962,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,Between 5 and 19,3,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",100% - All of my time,100% - All of my time,Somewhat agree,4,Somewhat disagree,2,Strongly agree,5,More Productive By 20 %,3,9,3,1,0,11,3,2,Management discourages remote working,Connectivity (internet connection),2020
1156,1156,1983,Male,Retail Trade,"Technicians and trades  - Construction Trades ",Between 5 and 19,3,Yes,One  parent family with dependent children,3,Between 6 and 12 months,1,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Neither agree nor disagree,3,Somewhat agree,4,Strongly agree,5,More Productive By 30 %,1,8,7,8,1,8,5,10,Lack of remote working skills,Lack of motivation,2020
1157,1157,1963,Male,Retail Trade,Sales  - Sales Representatives and Agents,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 20%"," 20%"," 20%",Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Level Of The Productivity Is The Same,3,7.6,5,3,1,8,5,3,Lack of motivation,Poor management,2020
1158,1158,2000,Male,Education and Training,Professionals - Education Professionals,Between 5 and 19,3,No,Single person,1,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 30%"," 30%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,More Productive By 20 %,1,9,2,1.3,1,9,2,1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),2020
1159,1159,1975,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",Between 1 and 4,2,Yes,Couple with dependent children,4,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,2,8,13,1,0,5,10,9,Lack of motivation,Lack of remote working skills,2020
1160,1160,1988,Female,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,3,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 90%"," 70%"," 70%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 50 %,1,1,1,1,1,1,1,1,Management discourages remote working,Lack of remote working skills,2020
1161,1161,1989,Female,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Regional," 1% - 9% - Less than 10% of my time",100% - All of my time," 20%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 40 %,3,8,2,0.5,0,8,5,2,Connectivity (internet connection),Lack of motivation,2020
1162,1162,1970,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 20%"," 50% - About half of my time",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,7,2,1,0,7,3,2,Lack of motivation,Connectivity (internet connection),2020
1163,1163,1971,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 30%"," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 50 %,2,8,10,4,0.5,12,10,1.5,Lack of motivation,My organisation's software and systems,2020
1164,1164,1985,Male,Construction,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 30%"," 40%"," 40%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,More Productive By 40 %,3,7,7,7,2,7,8,7,My organisation's software and systems,"IT equipment (computer, printer, etc.)",2020
1165,1165,1990,Male,"Professional, Scientific and Technical Services",Managers - Specialist Managers,Between 20 and 199,4,Yes,Single person,1,More than 5 years,3,Metro," 80%",100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 20 %,2,5,2,0,2,5,2,0,Feeling left out and/or isolated,Poor management,2020
1166,1166,1992,Female,Education and Training,Professionals - Education Professionals,More than 200,5,No,Group household,7,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 1% - 9% - Less than 10% of my time"," 20%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,7,12,4,0.5,7,14,2.5,Difficulty collaborating remotely,Connectivity (internet connection),2020
1167,1167,1973,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 80%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,2,8,3,0.5,0,8,5,0.5,Lack of motivation,Caring responsibilities,2020
1168,1168,1981,Male,Arts and Recreation Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%"," 40%"," 70%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 50 %,2.5,8,4,6,0.25,8.5,6,6,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)","My living situation (e.g. location, home size, who I live with)",2020
1169,1169,1956,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 30%"," 30%"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,1,8,2,0,1,8,3,0,Connectivity (internet connection),Lack of motivation,2020
1170,1170,1962,Female,"Professional, Scientific and Technical Services","Clerical and administrative  - Clerical and Office Support ",More than 200,5,No,One  parent family with dependent children,3,Between 1 and 5 years,2,Regional," 40%",100% - All of my time,100% - All of my time,Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 50 %,1,7.5,2,1,0,7.5,2,2,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
1171,1171,1991,Male,Public Administration and Safety,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 20%"," 40%"," 90%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,2,9,5,0,0,9,5,0,Feeling left out and/or isolated,Cyber security,2020
1172,1172,1982,Female,Accommodation and Food Services,"Sales  - Sales Support ",Between 5 and 19,3,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 10%"," 30%"," 50% - About half of my time",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,More Productive By 30 %,1,10,3,1,0,10,4,3,Poor management,"My living situation (e.g. location, home size, who I live with)",2020
1173,1173,1973,Female,Other Services,"Labourers - Cleaners and Laundry ",Between 20 and 199,4,No,Single person,1,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,100% - All of my time," 10%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 50 %,1,7,3,0,1,7,3,0,"IT equipment (computer, printer, etc.)",Caring responsibilities,2020
1174,1174,1983,Female,Administrative and Support Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 30%"," 20%"," 30%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,2,6,3,4,3,6,1,1,Lack of motivation,Lack of motivation,2020
1175,1175,1987,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 10%"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Less Productive By 20 %,1,9,4,2,0,8,5,2,Feeling left out and/or isolated,Lack of motivation,2020
1176,1176,1973,Female,Administrative and Support Services,Clerical and administrative  - Office Managers and Program Administrators,Between 5 and 19,3,No,Single person,1,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Less Productive By 50 %,2,8,2,4,0,6,6,6,Lack of motivation,Lack of remote working skills,2020
1177,1177,1985,Female,Manufacturing,"Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,3,Yes,One  parent family with dependent children,3,Between 6 and 12 months,1,Regional," 30%"," 10%"," 10%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Less Productive By 20 %,2,8,3,11,2,9,2,11,Lack of motivation,Cyber security,2020
1178,1178,1997,Male,Mining,Clerical and administrative  - Office Managers and Program Administrators,Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 80%"," 80%"," 80%",Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,0.5,7,8,1,1,7,8,8,"My living situation (e.g. location, home size, who I live with)",Feeling left out and/or isolated,2020
1179,1179,1989,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",I am the only employee,1,Yes,Group household,7,More than 5 years,3,Metro," 70%"," 80%"," 80%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 20 %,3,8,1,2,1,9,2,2,Connectivity (internet connection),Difficulty collaborating remotely,2020
1180,1180,1993,Female,Public Administration and Safety,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 30%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 30 %,1.5,7,10,5.5,2,12,6,4,Lack of remote working skills,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
1181,1181,1976,Male,Wholesale Trade,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 10%"," 20%"," 20%",Strongly agree,5,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,12,12,0,0,12,10,2,0,Lack of remote working skills,Difficulty collaborating remotely,2020
1182,1182,1963,Female,Public Administration and Safety,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 90%",100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,Level Of The Productivity Is The Same,2,6,4,2,2,6,4,2,Difficulty collaborating remotely,Management discourages remote working,2020
1183,1183,1989,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",I am the only employee,1,Yes,Single person,1,More than 5 years,3,Metro," 70%"," 80%"," 70%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Level Of The Productivity Is The Same,2,6,2,3,1,10,3,1,Connectivity (internet connection),Feeling left out and/or isolated,2020
1184,1184,1984,Male,Manufacturing,"Technicians and trades  - Engineering, ICT and Science Technicians",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Regional," 1% - 9% - Less than 10% of my time",100% - All of my time,100% - All of my time,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,2,7,2,2,0,11,2,2,Difficulty collaborating remotely,I have tasks that can't be done remotely,2020
1185,1185,2001,Female,Public Administration and Safety,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Group household,7,Between 6 and 12 months,1,Metro," 30%"," 0% - I would not have preferred to work remotely"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 50 %,1,10,6,7,0,12,4,8,Lack of motivation,Connectivity (internet connection),2020
1186,1186,1985,Female,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,Yes,One  parent family with dependent children,3,Between 1 and 5 years,2,Regional," 20%"," 60%"," 20%",Neither agree nor disagree,3,Somewhat disagree,2,Somewhat disagree,2,Less Productive By 30 %,2,7,12,3,4,8,9,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Cyber security,2020
1187,1187,1975,Female,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never"," 20%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,3,9,3,2,0.5,8,4,3,Difficulty collaborating remotely,Poor management,2020
1188,1188,1986,Male,Administrative and Support Services,Professionals - ICT Professionals,Between 1 and 4,2,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 60%"," 80%"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,2,8,10,3,2,8,10,3,Connectivity (internet connection),"IT equipment (computer, printer, etc.)",2020
1189,1189,1978,Female,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 30%"," 50% - About half of my time"," 50% - About half of my time",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,0.5,8,7,4,0.5,8,7,4,Lack of motivation,Lack of motivation,2020
1190,1190,1979,Female,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,Between 5 and 19,3,No,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 1% - 9% - Less than 10% of my time",100% - All of my time,100% - All of my time,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 50 %,1,7,2,1,2,7,1,1,Poor management,"My living situation (e.g. location, home size, who I live with)",2020
1191,1191,1991,Male,Financial and Insurance Services,Sales  - Sales Representatives and Agents,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 10%"," 40%"," 50% - About half of my time",Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Less Productive By 10 %,1,8,1,3,0,9,0.5,2,Cyber security,Lack of motivation,2020
1192,1192,1965,Male,"Professional, Scientific and Technical Services","Technicians and trades  - Other Technicians and Trades ",More than 200,5,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Regional," 10%"," 1% - 9% - Less than 10% of my time"," 10%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,2,9,3,1,0.5,9,4,2,Poor management,Lack of motivation,2020
1193,1193,1961,Female,Other Services,"Community and personal service  - Health and Welfare Support ",More than 200,5,No,One  parent family with dependent children,3,More than 5 years,3,Metro," 0% - Rarely or never"," 20%"," 50% - About half of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 30 %,3,8,10,3,1,8,10,5,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",2020
1194,1194,1990,Male,Arts and Recreation Services,Managers - Specialist Managers,Between 20 and 199,4,Yes,Single person,1,Between 6 and 12 months,1,Regional," 50% - I spent about half of my time remote working"," 60%"," 10%",Somewhat disagree,2,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 10 %,6,6,6,6,6,5,7,6,"IT equipment (computer, printer, etc.)",Poor management,2020
1195,1195,1990,Male,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,No,Single person,1,Between 1 and 5 years,2,Metro," 60%"," 60%"," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Less Productive By 20 %,2,8,7,7,0,7,9,8,I have tasks that can't be done remotely,Lack of motivation,2020
1196,1196,1993,Male,Administrative and Support Services,"Clerical and administrative  - Clerical and Office Support ",Between 20 and 199,4,No,Single person,1,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,8,1,1,1,8,1,1,Poor management,Lack of motivation,2020
1197,1197,1966,Female,Public Administration and Safety,"Professionals - Legal, Social and Welfare Professionals",More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 70%"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 20 %,1.5,8,3,2,0.5,8,4,2,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
1198,1198,1996,Male,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,5,Yes,Single person,1,Between 1 and 5 years,2,Metro," 10%"," 20%"," 30%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Less Productive By 10 %,1,8,7,0.5,0,7.5,8.5,0.5,Difficulty collaborating remotely,Caring responsibilities,2020
1199,1199,1996,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Single person,1,Between 1 and 5 years,2,Regional," 0% - Rarely or never"," 1% - 9% - Less than 10% of my time"," 30%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 10 %,1,6,3,2,0.2,6,4,2,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
1200,1200,1993,Male,Retail Trade,Sales  - Sales Assistants and Salespersons,More than 200,5,Yes,One  parent family with dependent children,3,Between 1 and 5 years,2,Metro," 10%"," 20%"," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat disagree,2,Level Of The Productivity Is The Same,1,20,0.5,0,1,20,0.5,0,Difficulty collaborating remotely,Feeling left out and/or isolated,2020
1201,1201,1957,Female,Education and Training,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never"," 20%"," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 40 %,2,8,2,3,0,10,3,2,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",2020
1202,1202,1964,Male,"Professional, Scientific and Technical Services",Sales  - Sales Representatives and Agents,Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never"," 20%"," 20%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Less Productive By 10 %,3,7,0.5,0,0.5,6,1,0.5,Difficulty collaborating remotely,I have tasks that can't be done remotely,2020
1203,1203,1989,Male,Information Media and Telecommunications,Professionals - Arts and Media Professionals,I am the only employee,1,Yes,Group household,7,More than 5 years,3,Metro," 80%"," 70%"," 60%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,1,8,4,1,0.5,9,5,2,Connectivity (internet connection),Difficulty collaborating remotely,2020
1204,1204,1981,Male,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,3,No,Couple with dependent children,4,More than 5 years,3,Metro," 80%"," 20%"," 70%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,1,8,0,2,0,6,2,3,Lack of motivation,Caring responsibilities,2020
